"country","start_day","start_month","start_year","end_day","end_month","end_year","provisional","military","president_name"
"Benin","1","Aug","1960","27","Oct","1963",FALSE,FALSE,"Hubert Maga"
"Benin","27","Oct","1963","28","Oct","1963",TRUE,FALSE,"Provisional Government"
"Benin","27","Oct","1963","28","Oct","1963",TRUE,FALSE,"- Hubert Maga "
"Benin","27","Oct","1963","28","Oct","1963",TRUE,FALSE,"- Sourou Migan Marcellin Apithy "
"Benin","27","Oct","1963","28","Oct","1963",TRUE,FALSE,"- Justin Ahomadegbe-Tometin "
"Benin","28","Oct","1963","25","Jan","1964",FALSE,TRUE,"Christophe Soglo"
"Benin","25","Jan","1964","27","Nov","1965",FALSE,FALSE,"Sourou Migan Marcellin Apithy"
"Benin","27","Nov","1965","29","Nov","1965",FALSE,FALSE,"Justin Ahomadegbe-Tometin"
"Benin","29","Nov","1965","22","Dec","1965",FALSE,FALSE,"Tahirou Congacou"
"Benin","22","Dec","1965","19","Dec","1967",FALSE,TRUE,"Christophe Soglo"
"Benin","19","Dec","1967","20","Dec","1967",FALSE,TRUE,"Jean-Baptiste Hacheme"
"Benin","20","Dec","1967","21","Dec","1967",FALSE,TRUE,"Iropa Maurice Kouandete"
"Benin","21","Dec","1967","17","Jul","1968",FALSE,TRUE,"Alphonse Amadou Alley"
"Benin","17","Jul","1968","10","Dec","1969",FALSE,TRUE,"Emile Derlin Henri Zinsou"
"Benin","10","Dec","1969","12","Dec","1969",FALSE,TRUE,"Iropa Maurice Kouandete"
"Benin","12","Dec","1969","7","May","1970",FALSE,TRUE,"Paul-Emile de Souza"
"Benin","7","May","1970","7","May","1972",FALSE,FALSE,"Hubert Maga"
"Benin","7","May","1972","26","Oct","1972",FALSE,FALSE,"Justin Ahomadegbe-Tometin"
"Benin","26","Oct","1972","4","Apr","1991",FALSE,TRUE,"Mathieu Kerekou"
"Benin","4","Apr","1991","4","Apr","1996",FALSE,FALSE,"Nicephore Dieudonne Soglo"
"Benin","4","Apr","1996","6","Apr","2006",FALSE,FALSE,"Mathieu Kerekou"
"Benin","6","Apr","2006","6","Apr","2016",FALSE,FALSE,"Thomas Boni Yayi"
"Benin","6","Apr","2016",NA,NA,NA,FALSE,FALSE,"Patrice Athanase Guillaume Talon"
