"country","start_day","start_month","start_year","end_day","end_month","end_year","provisional","military","president_name"
"Ghana","1","Jul","1960","24","Feb","1966",FALSE,FALSE,"Kwame Nkrumah"
"Ghana","24","Feb","1966","2","Apr","1969",FALSE,TRUE,"Joseph Arthur Ankrah"
"Ghana","2","Apr","1969","7","Aug","1970",FALSE,TRUE,"Okatakyie Akwasi Amankwaa Afrifa"
"Ghana","31","Aug","1970","13","Jan","1972",FALSE,FALSE,"Edward Akufo-Addo"
"Ghana","13","Jan","1972","5","Jul","1978",FALSE,TRUE,"Ignatius Kutu Kwasi Acheampong"
"Ghana","5","Jul","1978","4","Jun","1979",FALSE,TRUE,"Frederick William Kwasi Akuffo"
"Ghana","4","Jun","1979","24","Sep","1979",FALSE,TRUE,"Jerry John Kwasi Rawlings"
"Ghana","24","Sep","1979","31","Dec","1981",FALSE,FALSE,"Hilla Limann"
"Ghana","31","Dec","1981","7","Jan","1993",FALSE,TRUE,"Jerry John Kwasi Rawlings"
"Ghana","7","Jan","1993","7","Jan","2001",FALSE,FALSE,"Jerry John Kwasi Rawlings"
"Ghana","7","Jan","2001","7","Jan","2009",FALSE,FALSE,"John Kofi Agyekum Kufuor"
"Ghana","7","Jan","2009","24","Jul","2012",FALSE,TRUE,"John Evans Atta Mills"
"Ghana","24","Jul","2012","7","Jan","2017",FALSE,FALSE,"John Dramani Mahama"
"Ghana","7","Jan","2017",NA,NA,NA,FALSE,FALSE,"Nana Addo Dankwa Akufo-Addo"
