"country","start_day","start_month","start_year","end_day","end_month","end_year","provisional","military","president_name"
"Guinea Bissau","24","Sep","1973","14","Nov","1980",FALSE,FALSE,"Luis Severino de Almeida Cabral"
"Guinea Bissau","14","Nov","1980","14","May","1984",FALSE,FALSE,"Joao Bernardo Vieira"
"Guinea Bissau","14","May","1984","16","May","1984",FALSE,FALSE,"Carmen Pereira"
"Guinea Bissau","16","May","1984","7","May","1999",FALSE,FALSE,"Joao Bernardo Vieira"
"Guinea Bissau","7","May","1999","14","May","1999",FALSE,TRUE,"Ansumane Mane"
"Guinea Bissau","14","May","1999","17","Feb","2000",FALSE,FALSE,"Malam Bacai Sanha"
"Guinea Bissau","17","Feb","2000","14","Sep","2003",FALSE,FALSE,"Kumba Iala"
"Guinea Bissau","14","Sep","2003","28","Sep","2003",FALSE,TRUE,"Verissimo Correia Seabra"
"Guinea Bissau","28","Sep","2003","1","Oct","2005",FALSE,FALSE,"Henrique Pereira Rosa"
"Guinea Bissau","1","Oct","2005","2","Mar","2009",FALSE,FALSE,"Joao Bernardo Vieira"
"Guinea Bissau","3","Mar","2009","8","Sep","2009",FALSE,FALSE,"Raimundo Perreira"
"Guinea Bissau","8","Sep","2009","9","Jan","2012",FALSE,FALSE,"Malam Bacai Sanha"
"Guinea Bissau","9","Jan","2012","12","Apr","2012",FALSE,FALSE,"Raimundo Perreira"
"Guinea Bissau","12","Apr","2012","10","May","2012",FALSE,TRUE,"Mamadu Ture Kuruma"
"Guinea Bissau","10","May","2012","23","Jun","2014",FALSE,FALSE,"Manuel Serifo Nhamadjo"
"Guinea Bissau","23","Jun","2014",NA,NA,NA,FALSE,FALSE,"Jose Mario Vaz"
