"country","start_day","start_month","start_year","end_day","end_month","end_year","provisional","military","president_name"
"Liberia","3","Jan","1848","7","Jan","1856",FALSE,FALSE,"Joseph Jenkins Roberts"
"Liberia","7","Jan","1856","4","Jan","1864",FALSE,FALSE,"Stephen Allen Benson"
"Liberia","4","Jan","1864","6","Jan","1868",FALSE,FALSE,"Daniel Bashiel Warner"
"Liberia","6","Jan","1868","3","Jan","1870",FALSE,FALSE,"James Spriggs Payne"
"Liberia","3","Jan","1870","26","Oct","1871",FALSE,FALSE,"Edward James Roye"
"Liberia","26","Oct","1871","4","Nov","1871",FALSE,FALSE,"Charles Benedict Dunbar"
"Liberia","26","Oct","1871","4","Nov","1871",FALSE,FALSE,"Reginald A"
"Liberia","26","Oct","1871","4","Nov","1871",FALSE,FALSE,"Amos Herring"
"Liberia","4","Nov","1871","1","Jan","1872",FALSE,FALSE,"James Skivring Smith"
"Liberia","1","Jan","1872","3","Jan","1876",FALSE,FALSE,"Joseph Jenkins Roberts"
"Liberia","3","Jan","1876","7","Jan","1878",FALSE,FALSE,"James Spriggs Payne"
"Liberia","7","Jan","1878","20","Jan","1883",FALSE,FALSE,"Anthony William Gerdner"
"Liberia","20","Jan","1883","7","Jan","1884",FALSE,FALSE,"Alfred Francis Russell"
"Liberia","7","Jan","1884","4","Jan","1892",FALSE,FALSE,"Hilary Richard Wright Johnson"
"Liberia","4","Jan","1892","12","Nov","1896",FALSE,FALSE,"Joseph James Cheeseman"
"Liberia","12","Nov","1896","11","Dec","1900",FALSE,FALSE,"William David Coleman"
"Liberia","11","Dec","1900","4","Jan","1904",FALSE,FALSE,"Garretson Wilmot Gibson"
"Liberia","4","Jan","1904","1","Jan","1912",FALSE,FALSE,"Arthur Barclay"
"Liberia","1","Jan","1912","5","Jan","1920",FALSE,FALSE,"Daniel Edward Howard"
"Liberia","5","Jan","1920","3","Dec","1930",FALSE,FALSE,"Charles Dunbar Burgess King"
"Liberia","3","Dec","1930","3","Jan","1944",FALSE,FALSE,"Edwin James Barclay"
"Liberia","3","Jan","1944","23","Jul","1971",FALSE,FALSE,"William Vacanarat Shadrach Tubman"
"Liberia","23","Jul","1971","12","Apr","1980",FALSE,FALSE,"William Richard Tolbert"
"Liberia","12","Apr","1980","9","Sep","1990",FALSE,TRUE,"Samuel Kanyon Doe"
"Liberia","9","Sep","1990","22","Nov","1990",FALSE,FALSE,"Prince Yormie Johnson"
"Liberia","9","Sep","1990","22","Nov","1990",TRUE,FALSE,"Charles Ghankay MacArthur Dapkpana Taylor"
"Liberia","9","Sep","1990","22","Nov","1990",FALSE,TRUE,"David Nimley"
"Liberia","2","Sep","1990","7","Mar","1994",FALSE,FALSE,"Amos Claudius Sawyer"
"Liberia","7","Mar","1994","1","Sep","1995",FALSE,FALSE,"David Donald Kpormakor"
"Liberia","1","Sep","1995","3","Sep","1996",FALSE,FALSE,"Wilton Gbakolo Sengbe Sankawulo"
"Liberia","3","Sep","1996","2","Aug","1997",FALSE,FALSE,"Ruth Sando Perry"
"Liberia","2","Aug","1997","11","Aug","2003",FALSE,FALSE,"Charles Ghankay MacArthur Dapkpana"
"Liberia","11","Aug","2003","14","Oct","2003",FALSE,FALSE,"Moses Zeh Blah"
"Liberia","14","Oct","2003","16","Jan","2006",FALSE,FALSE,"Charles Gyude Bryant"
"Liberia","16","Jan","2006","22","Jan","2018",FALSE,FALSE,"Ellen JohnsonSirleaf"
"Liberia","22","Jan","2018",NA,NA,NA,FALSE,FALSE,"George Tawlon Manneh Oppong"
