"country","start_day","start_month","start_year","end_day","end_month","end_year","provisional","military","president_name"
"Mauritania","28","Nov","1960","10","Jul","1978",FALSE,FALSE,"Moktar Ould Daddah"
"Mauritania","10","Jul","1978","6","Apr","1979",FALSE,TRUE,"Mustafa Ould Salek"
"Mauritania","6","Apr","1979","3","Jun","1979",FALSE,TRUE,"Mustafa Ould Salek"
"Mauritania","3","Jun","1979","4","Jan","1980",FALSE,TRUE,"Mohamed Mahmoud Ould Louly"
"Mauritania","4","Jan","1980","12","Dec","1984",FALSE,TRUE,"Mohamed Khouna Ould Haidalla"
"Mauritania","12","Dec","1984","18","Apr","1992",FALSE,TRUE,"Maaouya Ould Sid"
"Mauritania","18","Apr","1992","3","Aug","2005",FALSE,FALSE,"Maaouya Ould Sid"
"Mauritania","14","Oct","2012","24","Nov","2012",FALSE,FALSE,"Moulaye Ould Mohamed Laghdaf"
"Mauritania","3","Aug","2005","19","Apr","2007",FALSE,TRUE,"Ely Ould Mohamed Vall"
"Mauritania","19","Apr","2007","6","Aug","2008",FALSE,FALSE,"Sidi Mohamed Ould Cheikh Abdellahi"
"Mauritania","6","Aug","2008","15","Apr","2009",FALSE,TRUE,"Mohammed Ould Abdel Aziz"
"Mauritania","15","Apr","2009","5","Aug","2009",FALSE,FALSE,"Ba Mamadou dit M"
"Mauritania","5","Aug","2009",NA,NA,NA,FALSE,FALSE,"Mohamed Ould Abdel Aziz"
