"country","start_day","start_month","start_year","end_day","end_month","end_year","provisional","military","president_name"
"Niger","10","Nov","1960","15","Apr","1974",FALSE,FALSE,"Hamani Diori"
"Niger","15","Apr","1974","10","Nov","1987",FALSE,TRUE,"Seyni Kountche"
"Niger","10","Nov","1987","17","May","1989",FALSE,TRUE,"Ali Saibou"
"Niger","17","May","1989","18","Dec","1989",FALSE,FALSE,"Ali Saibou"
"Niger","18","Dec","1989","16","Apr","1993",FALSE,FALSE,"Ali Saibou"
"Niger","16","Apr","1993","27","Jan","1996",FALSE,FALSE,"Mahamane Ousmane"
"Niger","27","Jan","1996","7","Aug","1996",FALSE,TRUE,"Ibrahim Bare Mainassara"
"Niger","7","Aug","1996","9","Apr","1999",FALSE,FALSE,"Ibrahim Bare Mainassara"
"Niger","9","Apr","1999","11","Apr","1999",FALSE,TRUE,"Djibrilla Hamidou Hima"
"Niger","11","Apr","1999","22","Dec","1999",FALSE,TRUE,"Daouda Malam Wanke"
"Niger","22","Dec","1999","18","Feb","2010",FALSE,FALSE,"Mamadou Tandja"
"Niger","18","Feb","2010","7","Apr","2011",FALSE,TRUE,"Salou Djibo"
"Niger","7","Apr","2011",NA,NA,NA,FALSE,FALSE,"Mahamadou Issoufou"
