"country","start_day","start_month","start_year","end_day","end_month","end_year","provisional","military","president_name"
"Nigeria","15","Jan","1966","17","Jan","1966",FALSE,TRUE,"Patrick Chukwuma Kaduna Nzeogwu"
"Nigeria","16","Jan","1966","24","May","1966",FALSE,TRUE,"Johnson Thomas Umunnakwe Aguiyi-"
"Nigeria","24","May","1966","29","Jul","1966",FALSE,TRUE,"Johnson Thomas Umunnakwe Aguiyi-"
"Nigeria","29","Jul","1966","1","Aug","1966",FALSE,FALSE,"Vacant"
"Nigeria","1","Aug","1966","1","Sep","1966",FALSE,TRUE,"Yakubu Cinwa Dan-Yumma Gowon"
"Nigeria","1","Sep","1966","29","Jul","1975",FALSE,TRUE,"Yakubu Cinwa Dan-Yumma Gowon"
"Nigeria","29","Jul","1975","13","Feb","1976",FALSE,TRUE,"Murtala Ramat Mohammed"
"Nigeria","14","Feb","1976","1","Oct","1979",FALSE,TRUE,"Olusegun Fajinmi Okikiolakan Aremu"
"Nigeria","1","Oct","1979","31","Dec","1983",FALSE,FALSE,"Shehu Usman Aliyu Shagari"
"Nigeria","31","Dec","1983","27","Aug","1985",FALSE,TRUE,"Muhammadu Buhari"
"Nigeria","27","Aug","1985","26","Aug","1993",FALSE,TRUE,"Ibrahim Badamasi Babangida"
"Nigeria","26","Aug","1993","17","Nov","1993",FALSE,FALSE,"Ernest Adegunle Oladeinde Shonekan"
"Nigeria","17","Nov","1993","8","Jun","1998",FALSE,TRUE,"Sani Abacha"
"Nigeria","9","Jun","1998","29","May","1999",FALSE,TRUE,"Abdulsalam Abubakar"
"Nigeria","29","May","1999","29","May","2007",FALSE,FALSE,"Olusegun Fajinmi Okikiolakan Aremu Obasanjo"
"Nigeria","29","May","2007","5","May","2010",FALSE,FALSE,"Umaru Musa Yar"
"Nigeria","9","Feb","2010","29","May","2015",FALSE,FALSE,"Goodluck Ebele Azikiwe Jonathan"
"Nigeria","29","May","2015",NA,NA,NA,FALSE,FALSE,"Muhammadu Buhari"
