"country","start_day","start_month","start_year","end_day","end_month","end_year","provisional","military","president_name"
"Sierra Leone","19","Apr","1971","21","Apr","1971",FALSE,FALSE,"Christopher Okoro Elnathan Eustace Cole"
"Sierra Leone","21","Apr","1971","28","Nov","1985",FALSE,FALSE,"Siaka Probyn Stevens"
"Sierra Leone","28","Nov","1985","29","Apr","1992",FALSE,FALSE,"Joseph Saidu Momoh"
"Sierra Leone","30","Apr","1992","1","May","1992",FALSE,TRUE,"James Yahya Kanu"
"Sierra Leone","1","May","1992","6","May","1992",FALSE,TRUE,"Valentine Esegragbo Melvine"
"Sierra Leone","6","May","1992","16","Jan","1996",FALSE,TRUE,"Valentine Esegragbo Melvine Strasser"
"Sierra Leone","17","Jan","1996","29","Mar","1996",FALSE,TRUE,"Julius Maada Wonie Bio"
"Sierra Leone","29","Mar","1996","25","May","1997",FALSE,FALSE,"Ahmad Tejan Kabbah"
"Sierra Leone","26","May","1997","17","Jun","1997",FALSE,TRUE,"Johnny Paul Koroma"
"Sierra Leone","17","Jun","1997","13","Feb","1998",FALSE,TRUE,"Johnny Paul Koroma"
"Sierra Leone","13","Feb","1998","17","Sep","2007",FALSE,FALSE,"Ahmad Tejan Kabbah"
"Sierra Leone","17","Sep","2007","4","Apr","2018",FALSE,FALSE,"Ernest Bai Koroma"
"Sierra Leone","4","Apr","2018",NA,NA,NA,FALSE,FALSE,"Julius Maada Wonie Bio"
